ID,Scientific,ScientificPred0,CommonPred0,ProbPred0,ScientificPred1,CommonPred1,ProbPred1,ScientificPred2,CommonPred2,ProbPred2,ScientificPred3,CommonPred3,ProbPred3,ScientificPred4,CommonPred4,ProbPred4
0/32645020,Tachybaptus ruficollis,Tachybaptus ruficollis,Little Grebe,23.04,Podiceps nigricollis,Eared Grebe,13.87,Podiceps grisegena,Red necked Grebe,6.34,Podiceps cristatus,Great Crested Grebe,5.04,Podiceps auritus,Horned Grebe,4.46
1/32640091,Tachybaptus ruficollis,Tachybaptus ruficollis,Little Grebe,70.27,Tachybaptus dominicus,Least Grebe,20.08,Podiceps grisegena,Red necked Grebe,1.52,Podilymbus podiceps,Pied billed Grebe,0.87,Podiceps nigricollis,Eared Grebe,0.38
8/32638248,Tachybaptus ruficollis,Alligator mississippiensis,American Alligator,10.42,Fulica americana,American Coot,8.93,Fulica atra,Eurasian Coot,4.55,Crocodylus acutus,American Crocodile,2.85,Trichechus manatus,West Indian Manatee,2.63
0/32637030,Tachybaptus ruficollis,Tachybaptus ruficollis,Little Grebe,70.46,Tachybaptus dominicus,Least Grebe,24.29,Podilymbus podiceps,Pied billed Grebe,1.2,Podiceps grisegena,Red necked Grebe,0.41,Podiceps nigricollis,Eared Grebe,0.36
7/32636207,Tachybaptus ruficollis,Podiceps nigricollis,Eared Grebe,33.52,Podiceps auritus,Horned Grebe,19.98,Tachybaptus ruficollis,Little Grebe,13.01,Podiceps grisegena,Red necked Grebe,7.04,Podiceps cristatus,Great Crested Grebe,5.56
6/32666966,Podiceps cristatus,Podiceps cristatus,Great Crested Grebe,90.69,Podiceps auritus,Horned Grebe,3.15,Podiceps grisegena,Red necked Grebe,2.35,Podiceps nigricollis,Eared Grebe,1.35,Tachybaptus ruficollis,Little Grebe,0.11
7/32665757,Podiceps cristatus,Podiceps cristatus,Great Crested Grebe,92.94,Podiceps nigricollis,Eared Grebe,1.8,Podiceps grisegena,Red necked Grebe,1.55,Podiceps auritus,Horned Grebe,1.5,Aechmophorus occidentalis,Western Grebe,0.17
7/32665677,Podiceps cristatus,Podiceps cristatus,Great Crested Grebe,50.55,Podiceps grisegena,Red necked Grebe,8.56,Podiceps auritus,Horned Grebe,7.57,Podiceps nigricollis,Eared Grebe,4.66,Tachybaptus ruficollis,Little Grebe,2.26
8/32664758,Podiceps cristatus,Podiceps cristatus,Great Crested Grebe,93.83,Podiceps grisegena,Red necked Grebe,1.11,Podiceps auritus,Horned Grebe,0.9,Podiceps nigricollis,Eared Grebe,0.57,Aechmophorus occidentalis,Western Grebe,0.43
8/32664698,Podiceps cristatus,Podiceps cristatus,Great Crested Grebe,84.19,Podiceps grisegena,Red necked Grebe,3.81,Podiceps auritus,Horned Grebe,3.51,Aechmophorus occidentalis,Western Grebe,1.91,Aechmophorus clarkii,Clark's Grebe,1.64
8/32664548,Podiceps cristatus,Podiceps cristatus,Great Crested Grebe,69.56,Podiceps auritus,Horned Grebe,13.91,Podiceps grisegena,Red necked Grebe,8.98,Podiceps nigricollis,Eared Grebe,1.83,Aechmophorus occidentalis,Western Grebe,0.56
0/32663290,Podiceps cristatus,Podiceps cristatus,Great Crested Grebe,82.28,Podiceps grisegena,Red necked Grebe,4.01,Podiceps nigricollis,Eared Grebe,3.41,Podiceps auritus,Horned Grebe,3.06,Aechmophorus occidentalis,Western Grebe,1.9
6/32662136,Podiceps cristatus,Podiceps auritus,Horned Grebe,32.97,Podiceps cristatus,Great Crested Grebe,28.79,Podiceps grisegena,Red necked Grebe,22.72,Podiceps nigricollis,Eared Grebe,4.65,Aechmophorus clarkii,Clark's Grebe,1.61
5/32662135,Podiceps cristatus,Podiceps cristatus,Great Crested Grebe,29.36,Podiceps auritus,Horned Grebe,20.93,Podiceps grisegena,Red necked Grebe,18.84,Aechmophorus clarkii,Clark's Grebe,9.95,Aechmophorus occidentalis,Western Grebe,5.2
7/32660007,Podiceps cristatus,Podiceps cristatus,Great Crested Grebe,78.02,Aechmophorus occidentalis,Western Grebe,7.52,Podiceps grisegena,Red necked Grebe,5.94,Aechmophorus clarkii,Clark's Grebe,2.96,Podiceps nigricollis,Eared Grebe,1.28
2/32656552,Podiceps cristatus,Podiceps cristatus,Great Crested Grebe,94.95,Podiceps grisegena,Red necked Grebe,1.5,Podiceps nigricollis,Eared Grebe,1.18,Podiceps auritus,Horned Grebe,0.42,Mergus serrator,Red breasted Merganser,0.06
7/32655597,Podiceps cristatus,Podiceps cristatus,Great Crested Grebe,86.99,Podiceps grisegena,Red necked Grebe,4.21,Podiceps nigricollis,Eared Grebe,1.89,Podiceps auritus,Horned Grebe,1.55,Aechmophorus occidentalis,Western Grebe,0.86
9/32653429,Podiceps cristatus,Podiceps cristatus,Great Crested Grebe,63.96,Podiceps grisegena,Red necked Grebe,6.05,Podiceps nigricollis,Eared Grebe,5.64,Podiceps auritus,Horned Grebe,2.95,Tachybaptus ruficollis,Little Grebe,1.16
0/32652120,Podiceps cristatus,Podiceps cristatus,Great Crested Grebe,90.84,Podiceps grisegena,Red necked Grebe,3.18,Podiceps auritus,Horned Grebe,2.15,Podiceps nigricollis,Eared Grebe,0.76,Aechmophorus occidentalis,Western Grebe,0.19
0/32658830,Podiceps cristatus,Podiceps cristatus,Great Crested Grebe,95.31,Podiceps grisegena,Red necked Grebe,1.57,Podiceps nigricollis,Eared Grebe,0.89,Podiceps auritus,Horned Grebe,0.84,Mergus serrator,Red breasted Merganser,0.07
4/32650704,Podiceps cristatus,Podiceps cristatus,Great Crested Grebe,87.01,Podiceps nigricollis,Eared Grebe,3.66,Podiceps grisegena,Red necked Grebe,2.98,Podiceps auritus,Horned Grebe,1.89,Mergus serrator,Red breasted Merganser,0.4
1/32650621,Podiceps cristatus,Podiceps cristatus,Great Crested Grebe,92.37,Podiceps grisegena,Red necked Grebe,1.98,Podiceps auritus,Horned Grebe,1.43,Podiceps nigricollis,Eared Grebe,1.24,Aechmophorus occidentalis,Western Grebe,0.3
5/32650305,Podiceps cristatus,Podiceps cristatus,Great Crested Grebe,95.33,Podiceps auritus,Horned Grebe,0.83,Podiceps nigricollis,Eared Grebe,0.8,Podiceps grisegena,Red necked Grebe,0.68,Aechmophorus occidentalis,Western Grebe,0.17
6/32666936,Podiceps cristatus,Podiceps cristatus,Great Crested Grebe,97.32,Podiceps grisegena,Red necked Grebe,0.54,Podiceps nigricollis,Eared Grebe,0.45,Podiceps auritus,Horned Grebe,0.27,Mergus serrator,Red breasted Merganser,0.07
5/32666935,Podiceps cristatus,Podiceps cristatus,Great Crested Grebe,96.2,Podiceps grisegena,Red necked Grebe,0.49,Podiceps nigricollis,Eared Grebe,0.47,Podiceps auritus,Horned Grebe,0.33,Mergus serrator,Red breasted Merganser,0.12
0/32645400,Podiceps cristatus,Podiceps cristatus,Great Crested Grebe,42.07,Podiceps auritus,Horned Grebe,25.76,Podiceps grisegena,Red necked Grebe,19.0,Aechmophorus occidentalis,Western Grebe,4.11,Podiceps nigricollis,Eared Grebe,2.89
8/32641378,Podiceps cristatus,Podiceps cristatus,Great Crested Grebe,88.98,Aechmophorus occidentalis,Western Grebe,2.8,Podiceps auritus,Horned Grebe,2.5,Podiceps nigricollis,Eared Grebe,1.86,Podiceps grisegena,Red necked Grebe,0.86
7/32641377,Podiceps cristatus,Canis familiaris,ibizan hound,3.11,Canis familiaris,kerry blue terrier,2.91,Canis familiaris,dandie dinmont,2.82,Canis familiaris,dhole,2.62,Canis familiaris,dingo,2.6
3/32640533,Podiceps cristatus,Podiceps cristatus,Great Crested Grebe,93.08,Podiceps grisegena,Red necked Grebe,2.99,Podiceps auritus,Horned Grebe,1.07,Podiceps nigricollis,Eared Grebe,1.01,Mergus serrator,Red breasted Merganser,0.21
3/32661613,Podiceps grisegena,Aechmophorus occidentalis,Western Grebe,38.97,Aechmophorus clarkii,Clark's Grebe,22.49,Podiceps auritus,Horned Grebe,9.89,Podiceps grisegena,Red necked Grebe,7.21,Podiceps cristatus,Great Crested Grebe,5.21
1/32667451,Podiceps grisegena,Podiceps grisegena,Red necked Grebe,77.36,Podiceps nigricollis,Eared Grebe,8.61,Podiceps auritus,Horned Grebe,5.04,Podiceps cristatus,Great Crested Grebe,3.16,Tachybaptus ruficollis,Little Grebe,0.26
7/32667447,Podiceps grisegena,Melanitta fusca,White winged Scoter,28.72,Mergus serrator,Red breasted Merganser,9.09,Podiceps grisegena,Red necked Grebe,6.05,Lophodytes cucullatus,Hooded Merganser,4.42,Mergus merganser,Common Merganser,4.34
4/32660184,Podiceps grisegena,Podiceps grisegena,Red necked Grebe,65.85,Podiceps nigricollis,Eared Grebe,17.86,Podiceps auritus,Horned Grebe,11.17,Podiceps cristatus,Great Crested Grebe,1.15,Tachybaptus dominicus,Least Grebe,0.23
3/32660183,Podiceps grisegena,Podiceps grisegena,Red necked Grebe,98.32,Podiceps nigricollis,Eared Grebe,0.76,Podiceps auritus,Horned Grebe,0.18,Podiceps cristatus,Great Crested Grebe,0.12,Aechmophorus occidentalis,Western Grebe,0.03
2/32660182,Podiceps grisegena,Podiceps grisegena,Red necked Grebe,80.32,Podiceps nigricollis,Eared Grebe,7.68,Podiceps auritus,Horned Grebe,6.79,Podiceps cristatus,Great Crested Grebe,0.99,Tachybaptus dominicus,Least Grebe,0.32
1/32660181,Podiceps grisegena,Podiceps grisegena,Red necked Grebe,58.17,Podiceps nigricollis,Eared Grebe,18.92,Podiceps auritus,Horned Grebe,14.87,Podiceps cristatus,Great Crested Grebe,1.42,Tachybaptus dominicus,Least Grebe,0.45
0/32660180,Podiceps grisegena,Podiceps grisegena,Red necked Grebe,64.77,Podiceps nigricollis,Eared Grebe,16.09,Podiceps auritus,Horned Grebe,14.35,Podiceps cristatus,Great Crested Grebe,1.4,Aechmophorus occidentalis,Western Grebe,0.17
4/32657604,Podiceps grisegena,Podiceps grisegena,Red necked Grebe,60.34,Aechmophorus occidentalis,Western Grebe,8.31,Podiceps cristatus,Great Crested Grebe,7.88,Aechmophorus clarkii,Clark's Grebe,5.36,Podiceps auritus,Horned Grebe,4.2
3/32657603,Podiceps grisegena,Podiceps grisegena,Red necked Grebe,81.62,Aechmophorus occidentalis,Western Grebe,4.42,Podiceps cristatus,Great Crested Grebe,3.07,Aechmophorus clarkii,Clark's Grebe,1.27,Podiceps nigricollis,Eared Grebe,1.27
2/32657602,Podiceps grisegena,Podiceps grisegena,Red necked Grebe,64.77,Podiceps nigricollis,Eared Grebe,12.7,Podiceps auritus,Horned Grebe,4.28,Podiceps cristatus,Great Crested Grebe,3.07,Tachybaptus ruficollis,Little Grebe,1.59
2/32657332,Podiceps grisegena,Podiceps grisegena,Red necked Grebe,82.06,Podiceps auritus,Horned Grebe,3.23,Podiceps nigricollis,Eared Grebe,2.93,Podiceps cristatus,Great Crested Grebe,2.91,Aechmophorus occidentalis,Western Grebe,1.16
1/32658681,Podiceps grisegena,Podiceps grisegena,Red necked Grebe,77.67,Podiceps nigricollis,Eared Grebe,5.33,Podiceps cristatus,Great Crested Grebe,4.56,Aechmophorus occidentalis,Western Grebe,2.83,Podiceps auritus,Horned Grebe,2.42
1/32658591,Podiceps grisegena,Podiceps nigricollis,Eared Grebe,48.35,Podiceps grisegena,Red necked Grebe,30.88,Podiceps auritus,Horned Grebe,8.24,Podiceps cristatus,Great Crested Grebe,7.92,Aechmophorus occidentalis,Western Grebe,0.3
2/32658492,Podiceps grisegena,Podiceps grisegena,Red necked Grebe,82.82,Podiceps nigricollis,Eared Grebe,7.77,Podiceps cristatus,Great Crested Grebe,2.32,Podiceps auritus,Horned Grebe,2.19,Tachybaptus ruficollis,Little Grebe,0.45
5/32655735,Podiceps grisegena,Melanitta americana,Black Scoter,19.98,Phalacrocorax auritus,Double crested Cormorant,14.51,Melanitta fusca,White winged Scoter,8.56,Mergus serrator,Red breasted Merganser,6.27,Podiceps grisegena,Red necked Grebe,5.61
8/32657638,Podiceps grisegena,Podiceps grisegena,Red necked Grebe,73.92,Podiceps auritus,Horned Grebe,11.31,Podiceps nigricollis,Eared Grebe,9.93,Podiceps cristatus,Great Crested Grebe,1.25,Aechmophorus occidentalis,Western Grebe,0.1
3/32652773,Podiceps grisegena,Podiceps grisegena,Red necked Grebe,86.17,Podiceps nigricollis,Eared Grebe,4.08,Podiceps cristatus,Great Crested Grebe,2.7,Podiceps auritus,Horned Grebe,2.0,Aechmophorus occidentalis,Western Grebe,0.36
2/32652772,Podiceps grisegena,Podiceps grisegena,Red necked Grebe,74.65,Podiceps nigricollis,Eared Grebe,6.08,Mergus serrator,Red breasted Merganser,2.96,Tachybaptus ruficollis,Little Grebe,2.14,Podiceps cristatus,Great Crested Grebe,2.05
9/32647779,Podiceps grisegena,Podiceps grisegena,Red necked Grebe,64.48,Podiceps cristatus,Great Crested Grebe,15.99,Podiceps auritus,Horned Grebe,8.52,Podiceps nigricollis,Eared Grebe,7.23,Mergus serrator,Red breasted Merganser,0.27
8/32647778,Podiceps grisegena,Podiceps grisegena,Red necked Grebe,79.79,Podiceps cristatus,Great Crested Grebe,7.42,Podiceps nigricollis,Eared Grebe,5.61,Podiceps auritus,Horned Grebe,3.39,Mergus serrator,Red breasted Merganser,0.33
7/32647777,Podiceps grisegena,Podiceps grisegena,Red necked Grebe,89.05,Podiceps auritus,Horned Grebe,3.46,Podiceps cristatus,Great Crested Grebe,2.37,Podiceps nigricollis,Eared Grebe,1.35,Mergus serrator,Red breasted Merganser,0.5
4/32644844,Podiceps grisegena,Podiceps grisegena,Red necked Grebe,85.86,Podiceps cristatus,Great Crested Grebe,4.27,Podiceps auritus,Horned Grebe,4.07,Podiceps nigricollis,Eared Grebe,2.61,Aechmophorus occidentalis,Western Grebe,0.17
3/32641583,Podiceps grisegena,Podiceps grisegena,Red necked Grebe,79.39,Podiceps nigricollis,Eared Grebe,7.88,Podiceps auritus,Horned Grebe,6.44,Podiceps cristatus,Great Crested Grebe,1.25,Cepphus grylle,Black Guillemot,0.18
4/32667144,Podiceps nigricollis,Podiceps nigricollis,Eared Grebe,81.12,Podiceps auritus,Horned Grebe,9.93,Podiceps cristatus,Great Crested Grebe,4.28,Podiceps grisegena,Red necked Grebe,1.88,Aechmophorus occidentalis,Western Grebe,0.11
0/32656670,Podiceps nigricollis,Podiceps nigricollis,Eared Grebe,89.43,Podiceps auritus,Horned Grebe,3.48,Podiceps grisegena,Red necked Grebe,1.64,Podiceps cristatus,Great Crested Grebe,1.61,Aechmophorus occidentalis,Western Grebe,0.13
2/32656662,Podiceps nigricollis,Podiceps nigricollis,Eared Grebe,95.23,Podiceps grisegena,Red necked Grebe,1.62,Podiceps cristatus,Great Crested Grebe,0.97,Podiceps auritus,Horned Grebe,0.53,Aechmophorus occidentalis,Western Grebe,0.06
7/32659657,Podiceps nigricollis,Podiceps cristatus,Great Crested Grebe,30.15,Podiceps auritus,Horned Grebe,25.59,Podiceps nigricollis,Eared Grebe,24.1,Podiceps grisegena,Red necked Grebe,7.06,Aechmophorus occidentalis,Western Grebe,4.19
9/32651269,Podiceps nigricollis,Podiceps grisegena,Red necked Grebe,44.48,Podiceps auritus,Horned Grebe,18.39,Podiceps nigricollis,Eared Grebe,10.9,Podiceps cristatus,Great Crested Grebe,3.5,Mergus serrator,Red breasted Merganser,3.09
8/32651268,Podiceps nigricollis,Podiceps auritus,Horned Grebe,28.88,Podiceps grisegena,Red necked Grebe,23.01,Cepphus grylle,Black Guillemot,9.21,Podiceps cristatus,Great Crested Grebe,6.44,Mergus serrator,Red breasted Merganser,2.85
1/32630141,Podiceps nigricollis,Podiceps nigricollis,Eared Grebe,98.15,Podiceps grisegena,Red necked Grebe,0.36,Podiceps cristatus,Great Crested Grebe,0.29,Podiceps auritus,Horned Grebe,0.23,Mergus serrator,Red breasted Merganser,0.04
0/32630140,Podiceps nigricollis,Podiceps grisegena,Red necked Grebe,35.34,Podiceps auritus,Horned Grebe,29.27,Podiceps nigricollis,Eared Grebe,20.66,Podiceps cristatus,Great Crested Grebe,4.06,Aechmophorus occidentalis,Western Grebe,1.37
9/32630139,Podiceps nigricollis,Podiceps nigricollis,Eared Grebe,90.37,Podiceps grisegena,Red necked Grebe,3.14,Podiceps cristatus,Great Crested Grebe,2.16,Podiceps auritus,Horned Grebe,1.98,Aechmophorus occidentalis,Western Grebe,0.18
8/32626958,Podiceps nigricollis,Podiceps nigricollis,Eared Grebe,89.43,Podiceps cristatus,Great Crested Grebe,2.83,Podiceps auritus,Horned Grebe,1.98,Podiceps grisegena,Red necked Grebe,1.89,Tachybaptus dominicus,Least Grebe,0.35
7/32626957,Podiceps nigricollis,Podiceps nigricollis,Eared Grebe,91.42,Podiceps grisegena,Red necked Grebe,2.79,Podiceps auritus,Horned Grebe,1.51,Podiceps cristatus,Great Crested Grebe,1.1,Tachybaptus dominicus,Least Grebe,0.3
9/32626279,Podiceps nigricollis,Podiceps nigricollis,Eared Grebe,97.03,Podiceps auritus,Horned Grebe,0.72,Podiceps cristatus,Great Crested Grebe,0.59,Podiceps grisegena,Red necked Grebe,0.42,Tachybaptus dominicus,Least Grebe,0.04
7/32625427,Podiceps nigricollis,Podiceps nigricollis,Eared Grebe,96.27,Podiceps grisegena,Red necked Grebe,0.68,Podiceps cristatus,Great Crested Grebe,0.6,Podiceps auritus,Horned Grebe,0.47,Tachybaptus dominicus,Least Grebe,0.14
6/32625426,Podiceps nigricollis,Podiceps nigricollis,Eared Grebe,97.27,Podiceps grisegena,Red necked Grebe,0.61,Podiceps auritus,Horned Grebe,0.58,Podiceps cristatus,Great Crested Grebe,0.56,Tachybaptus dominicus,Least Grebe,0.08
5/32625425,Podiceps nigricollis,Podiceps nigricollis,Eared Grebe,94.72,Podiceps grisegena,Red necked Grebe,0.71,Podiceps cristatus,Great Crested Grebe,0.63,Tachybaptus dominicus,Least Grebe,0.58,Podiceps auritus,Horned Grebe,0.47
4/32625424,Podiceps nigricollis,Podiceps nigricollis,Eared Grebe,96.96,Podiceps cristatus,Great Crested Grebe,0.75,Podiceps grisegena,Red necked Grebe,0.65,Podiceps auritus,Horned Grebe,0.3,Mergus serrator,Red breasted Merganser,0.06
1/32615281,Podiceps nigricollis,Podiceps nigricollis,Eared Grebe,91.31,Podiceps auritus,Horned Grebe,2.03,Podiceps cristatus,Great Crested Grebe,1.59,Podiceps grisegena,Red necked Grebe,1.2,Aechmophorus occidentalis,Western Grebe,0.18
0/32615280,Podiceps nigricollis,Podiceps nigricollis,Eared Grebe,88.05,Podiceps cristatus,Great Crested Grebe,3.62,Podiceps auritus,Horned Grebe,2.91,Podiceps grisegena,Red necked Grebe,1.12,Aechmophorus occidentalis,Western Grebe,0.18
7/32606877,Podiceps nigricollis,Podiceps nigricollis,Eared Grebe,94.35,Podiceps auritus,Horned Grebe,1.09,Podiceps grisegena,Red necked Grebe,0.98,Podiceps cristatus,Great Crested Grebe,0.82,Tachybaptus dominicus,Least Grebe,0.09
3/32600593,Podiceps nigricollis,Podiceps nigricollis,Eared Grebe,96.55,Podiceps auritus,Horned Grebe,0.74,Podiceps cristatus,Great Crested Grebe,0.57,Podiceps grisegena,Red necked Grebe,0.51,Tachybaptus dominicus,Least Grebe,0.21
2/32600592,Podiceps nigricollis,Podiceps nigricollis,Eared Grebe,97.18,Podiceps cristatus,Great Crested Grebe,0.66,Podiceps auritus,Horned Grebe,0.59,Podiceps grisegena,Red necked Grebe,0.49,Tachybaptus dominicus,Least Grebe,0.04
7/32589057,Podiceps nigricollis,Podiceps nigricollis,Eared Grebe,89.27,Podiceps auritus,Horned Grebe,3.54,Podiceps grisegena,Red necked Grebe,1.98,Podiceps cristatus,Great Crested Grebe,1.77,Aechmophorus occidentalis,Western Grebe,0.31
6/32589056,Podiceps nigricollis,Podiceps nigricollis,Eared Grebe,94.91,Podiceps grisegena,Red necked Grebe,1.41,Podiceps auritus,Horned Grebe,1.08,Podiceps cristatus,Great Crested Grebe,0.57,Tachybaptus dominicus,Least Grebe,0.19
1/32583971,Podiceps nigricollis,Podiceps nigricollis,Eared Grebe,86.45,Podiceps cristatus,Great Crested Grebe,4.47,Podiceps auritus,Horned Grebe,3.28,Podiceps grisegena,Red necked Grebe,3.2,Aechmophorus occidentalis,Western Grebe,0.32
9/32672669,Phalacrocorax carbo,Phalacrocorax carbo,Great Cormorant,66.14,Phalacrocorax carbo novaehollandiae,Australasian Great Cormorant,15.55,Phalacrocorax auritus,Double crested Cormorant,6.87,Phalacrocorax pelagicus,Pelagic Cormorant,2.16,Phalacrocorax penicillatus,Brandt's Cormorant,1.49
7/32675127,Phalacrocorax carbo,Phalacrocorax carbo novaehollandiae,Australasian Great Cormorant,47.52,Phalacrocorax carbo,Great Cormorant,30.37,Phalacrocorax auritus,Double crested Cormorant,4.95,Phalacrocorax varius,Pied Cormorant,3.84,Phalacrocorax penicillatus,Brandt's Cormorant,3.12
2/32675072,Phalacrocorax carbo,Phalacrocorax carbo,Great Cormorant,40.99,Phalacrocorax penicillatus,Brandt's Cormorant,19.92,Phalacrocorax carbo novaehollandiae,Australasian Great Cormorant,12.56,Phalacrocorax auritus,Double crested Cormorant,5.02,Phalacrocorax pelagicus,Pelagic Cormorant,3.65
0/32674040,Phalacrocorax carbo,Phalacrocorax carbo,Great Cormorant,37.95,Egretta novaehollandiae,White faced Heron,1.86,Patagioenas fasciata,Band tailed Pigeon,1.6,Phalacrocorax auritus,Double crested Cormorant,1.55,Nyctanassa violacea,Yellow crowned Night Heron,1.51
7/32670377,Phalacrocorax carbo,Phalacrocorax carbo,Great Cormorant,39.26,Phalacrocorax auritus,Double crested Cormorant,12.83,Phalacrocorax penicillatus,Brandt's Cormorant,4.13,Phalacrocorax pelagicus,Pelagic Cormorant,3.68,Microcarbo melanoleucos brevirostris,Little Shag,2.7
9/32667599,Phalacrocorax carbo,Phalacrocorax carbo,Great Cormorant,50.04,Phalacrocorax auritus,Double crested Cormorant,12.95,Phalacrocorax pelagicus,Pelagic Cormorant,9.88,Phalacrocorax carbo novaehollandiae,Australasian Great Cormorant,7.54,Phalacrocorax penicillatus,Brandt's Cormorant,3.78
7/32666967,Phalacrocorax carbo,Phalacrocorax carbo,Great Cormorant,60.05,Phalacrocorax carbo novaehollandiae,Australasian Great Cormorant,19.31,Phalacrocorax brasilianus,Neotropic Cormorant,5.07,Phalacrocorax auritus,Double crested Cormorant,4.24,Phalacrocorax varius,Pied Cormorant,2.5
