ID,Scientific
8/32610598,Tadorna ferruginea
6/32610436,Tadorna ferruginea
4/32605104,Tadorna ferruginea
4/32608264,Tadorna ferruginea
5/32602625,Tadorna ferruginea
6/32594646,Tadorna ferruginea
1/32594471,Tadorna ferruginea
9/32594469,Tadorna ferruginea
0/32672820,Tadorna tadorna
6/32670176,Tadorna tadorna
5/32670175,Tadorna tadorna
4/32670174,Tadorna tadorna
3/32670173,Tadorna tadorna
8/32669398,Tadorna tadorna
2/32668232,Tadorna tadorna
3/32664493,Tadorna tadorna
5/32664045,Tadorna tadorna
9/32664069,Tadorna tadorna
6/32662096,Tadorna tadorna
8/32660338,Tadorna tadorna
3/32659603,Tadorna tadorna
0/32658640,Tadorna tadorna
1/32657881,Tadorna tadorna
0/32657880,Tadorna tadorna
5/32654905,Tadorna tadorna
3/32663403,Tadorna tadorna
3/32648073,Tadorna tadorna
4/32645274,Tadorna tadorna
3/32643733,Tadorna tadorna
9/32641349,Tadorna tadorna
6/32637406,Tadorna tadorna
8/32633058,Tadorna tadorna
8/32676168,Anas crecca
7/32676167,Anas crecca
2/32671482,Anas crecca
3/32671213,Anas crecca
2/32671212,Anas crecca
5/32670595,Anas crecca
4/32670594,Anas crecca
8/32670638,Anas crecca
6/32670386,Anas crecca
5/32670385,Anas crecca
4/32670384,Anas crecca
3/32670383,Anas crecca
2/32670382,Anas crecca
9/32670339,Anas crecca
8/32670338,Anas crecca
7/32670337,Anas crecca
6/32670336,Anas crecca
5/32670335,Anas crecca
9/32670269,Anas crecca
8/32670268,Anas crecca
7/32670267,Anas crecca
6/32670266,Anas crecca
7/32665927,Anas crecca
0/32665510,Anas crecca
0/32672620,Anas platyrhynchos
9/32672619,Anas platyrhynchos
9/32670509,Anas platyrhynchos
0/32675190,Anas platyrhynchos
6/32668946,Anas platyrhynchos
5/32668945,Anas platyrhynchos
4/32668944,Anas platyrhynchos
3/32668943,Anas platyrhynchos
2/32668942,Anas platyrhynchos
3/32668903,Anas platyrhynchos
2/32668902,Anas platyrhynchos
1/32668901,Anas platyrhynchos
5/32667465,Anas platyrhynchos
4/32667124,Anas platyrhynchos
1/32666831,Anas platyrhynchos
0/32666830,Anas platyrhynchos
2/32665812,Anas platyrhynchos
4/32665764,Anas platyrhynchos
3/32665763,Anas platyrhynchos
0/32665740,Anas platyrhynchos
3/32665663,Anas platyrhynchos
9/32665639,Anas platyrhynchos
0/32665530,Anas platyrhynchos
3/32665503,Anas platyrhynchos
1/32675901,Anas acuta
8/32671738,Anas acuta
1/32670951,Anas acuta
3/32672193,Anas acuta
7/32670567,Anas acuta
7/32670157,Anas acuta
6/32670156,Anas acuta
5/32670155,Anas acuta
4/32670154,Anas acuta
6/32669386,Anas acuta
8/32668888,Anas acuta
8/32668728,Anas acuta
7/32668727,Anas acuta
6/32668726,Anas acuta
5/32668725,Anas acuta
4/32668724,Anas acuta
1/32667241,Anas acuta
7/32667147,Anas acuta
2/32665972,Anas acuta
7/32663527,Anas acuta
3/32663243,Anas acuta
1/32662721,Anas acuta
5/32659225,Anas acuta
5/32658625,Anas acuta
6/32670946,Netta rufina
5/32670945,Netta rufina
6/32664856,Netta rufina
5/32664855,Netta rufina
3/32664203,Netta rufina
2/32664202,Netta rufina
6/32661246,Netta rufina
5/32661245,Netta rufina
1/32661221,Netta rufina
4/32661204,Netta rufina
3/32661203,Netta rufina
1/32661171,Netta rufina
6/32661146,Netta rufina
3/32661143,Netta rufina
1/32661121,Netta rufina
0/32661120,Netta rufina
1/32661101,Netta rufina
8/32661078,Netta rufina
3/32656223,Netta rufina
3/32656593,Netta rufina
8/32652478,Netta rufina
7/32652477,Netta rufina
6/32652476,Netta rufina
5/32652475,Netta rufina
8/32671218,Aythya ferina
9/32669759,Aythya ferina
3/32670063,Aythya ferina
2/32670062,Aythya ferina
1/32670061,Aythya ferina
2/32667492,Aythya ferina
4/32662534,Aythya ferina
9/32660229,Aythya ferina
8/32659308,Aythya ferina
7/32659307,Aythya ferina
0/32659230,Aythya ferina
6/32659046,Aythya ferina
3/32657453,Aythya ferina
4/32656364,Aythya ferina
1/32656331,Aythya ferina
4/32656144,Aythya ferina
5/32661595,Aythya ferina
4/32656054,Aythya ferina
8/32654598,Aythya ferina
8/32657228,Aythya ferina
3/32652693,Aythya ferina
6/32650696,Aythya ferina
2/32650612,Aythya ferina
4/32649864,Aythya ferina
7/32671217,Aythya fuligula
4/32671214,Aythya fuligula
3/32669853,Aythya fuligula
9/32668149,Aythya fuligula
8/32668148,Aythya fuligula
2/32672282,Aythya fuligula
5/32672275,Aythya fuligula
8/32672268,Aythya fuligula
2/32670292,Aythya fuligula
1/32670291,Aythya fuligula
0/32670290,Aythya fuligula
9/32670289,Aythya fuligula
8/32670288,Aythya fuligula
2/32669952,Aythya fuligula
3/32665533,Aythya fuligula
4/32664234,Aythya fuligula
4/32662964,Aythya fuligula
2/32662162,Aythya fuligula
5/32660355,Aythya fuligula
4/32660354,Aythya fuligula
2/32660202,Aythya fuligula
1/32660201,Aythya fuligula
0/32660200,Aythya fuligula
5/32661705,Aythya fuligula
7/32671327,Somateria mollissima
5/32670195,Somateria mollissima
7/32669347,Somateria mollissima
5/32676895,Somateria mollissima
3/32671823,Somateria mollissima
6/32671806,Somateria mollissima
6/32669896,Somateria mollissima
5/32669895,Somateria mollissima
4/32669894,Somateria mollissima
3/32669893,Somateria mollissima
2/32669892,Somateria mollissima
8/32665188,Somateria mollissima
6/32660916,Somateria mollissima
8/32659438,Somateria mollissima
4/32657334,Somateria mollissima
3/32657233,Somateria mollissima
2/32657232,Somateria mollissima
5/32657215,Somateria mollissima
4/32656484,Somateria mollissima
3/32656483,Somateria mollissima
2/32656482,Somateria mollissima
1/32656481,Somateria mollissima
0/32656480,Somateria mollissima
2/32659112,Somateria mollissima
4/32671564,Bucephala clangula
1/32671321,Bucephala clangula
7/32671587,Bucephala clangula
6/32671586,Bucephala clangula
5/32671585,Bucephala clangula
6/32669566,Bucephala clangula
5/32668605,Bucephala clangula
6/32672156,Bucephala clangula
1/32672151,Bucephala clangula
8/32672148,Bucephala clangula
0/32668880,Bucephala clangula
9/32668879,Bucephala clangula
8/32668878,Bucephala clangula
7/32668877,Bucephala clangula
6/32668876,Bucephala clangula
7/32669077,Bucephala clangula
8/32664868,Bucephala clangula
7/32664867,Bucephala clangula
8/32660208,Bucephala clangula
1/32658571,Bucephala clangula
1/32657651,Bucephala clangula
8/32657558,Bucephala clangula
4/32657504,Bucephala clangula
7/32655247,Bucephala clangula
0/32672070,Mergus serrator
4/32670184,Mergus serrator
4/32664884,Mergus serrator
3/32664883,Mergus serrator
6/32664436,Mergus serrator
5/32664435,Mergus serrator
6/32660436,Mergus serrator
2/32658552,Mergus serrator
9/32656919,Mergus serrator
3/32656913,Mergus serrator
3/32660953,Mergus serrator
9/32659559,Mergus serrator
8/32650138,Mergus serrator
4/32648454,Mergus serrator
2/32648162,Mergus serrator
6/32647296,Mergus serrator
5/32647295,Mergus serrator
4/32647294,Mergus serrator
3/32647293,Mergus serrator
2/32647292,Mergus serrator
7/32643117,Mergus serrator
2/32637462,Mergus serrator
5/32633035,Mergus serrator
7/32639877,Mergus serrator
4/32661654,Milvus migrans
7/32660477,Milvus migrans
6/32658016,Milvus migrans
5/32658015,Milvus migrans
4/32658014,Milvus migrans
3/32658013,Milvus migrans
2/32658012,Milvus migrans
1/32656761,Milvus migrans
0/32656760,Milvus migrans
9/32656759,Milvus migrans
2/32652982,Milvus migrans
0/32661280,Milvus migrans
4/32648974,Milvus migrans
0/32636640,Milvus migrans
9/32636639,Milvus migrans
8/32636638,Milvus migrans
7/32636637,Milvus migrans
6/32636636,Milvus migrans
0/32631900,Milvus migrans
9/32631899,Milvus migrans
8/32631898,Milvus migrans
7/32631897,Milvus migrans
8/32631918,Milvus migrans
7/32631917,Milvus migrans
9/32618189,Milvus milvus
5/32612595,Milvus milvus
4/32598114,Milvus milvus
6/32548176,Milvus milvus
7/32543107,Milvus milvus
1/32543061,Milvus milvus
0/32543060,Milvus milvus
9/32543059,Milvus milvus
8/32543058,Milvus milvus
0/32537340,Milvus milvus
6/32537336,Milvus milvus
1/32537331,Milvus milvus
9/32537329,Milvus milvus
1/32476091,Milvus milvus
5/32463835,Milvus milvus
4/32416614,Milvus milvus
8/32370908,Milvus milvus
4/32355154,Milvus milvus
1/32299861,Milvus milvus
0/32299860,Milvus milvus
9/32299859,Milvus milvus
1/32293931,Milvus milvus
1/32276231,Milvus milvus
5/32269145,Milvus milvus
0/32665900,Circus aeruginosus
9/32665899,Circus aeruginosus
8/32665898,Circus aeruginosus
2/32655402,Circus aeruginosus
1/32655401,Circus aeruginosus
1/32651171,Circus aeruginosus
9/32645929,Circus aeruginosus
8/32651898,Circus aeruginosus
7/32651897,Circus aeruginosus
6/32651896,Circus aeruginosus
5/32651895,Circus aeruginosus
2/32637752,Circus aeruginosus
9/32637199,Circus aeruginosus
8/32637198,Circus aeruginosus
7/32636907,Circus aeruginosus
6/32636906,Circus aeruginosus
6/32635816,Circus aeruginosus
0/32616540,Circus aeruginosus
8/32613348,Circus aeruginosus
4/32603114,Circus aeruginosus
7/32603087,Circus aeruginosus
9/32591979,Circus aeruginosus
6/32591956,Circus aeruginosus
7/32584927,Circus aeruginosus
2/32676182,Circus cyaneus
1/32676181,Circus cyaneus
7/32671737,Circus cyaneus
5/32671485,Circus cyaneus
6/32671026,Circus cyaneus
3/32670143,Circus cyaneus
2/32669762,Circus cyaneus
1/32669761,Circus cyaneus
0/32669760,Circus cyaneus
6/32669356,Circus cyaneus
7/32672137,Circus cyaneus
6/32667066,Circus cyaneus
0/32672220,Circus cyaneus
2/32664612,Circus cyaneus
1/32664611,Circus cyaneus
5/32663705,Circus cyaneus
1/32662261,Circus cyaneus
0/32662260,Circus cyaneus
9/32662259,Circus cyaneus
8/32661178,Circus cyaneus
5/32659775,Circus cyaneus
4/32659774,Circus cyaneus
3/32659773,Circus cyaneus
6/32658756,Circus cyaneus
5/32663835,Accipiter gentilis
4/32663834,Accipiter gentilis
3/32663833,Accipiter gentilis
4/32657474,Accipiter gentilis
8/32655598,Accipiter gentilis
0/32653290,Accipiter gentilis
9/32653289,Accipiter gentilis
4/32650404,Accipiter gentilis
6/32663726,Accipiter gentilis
5/32663725,Accipiter gentilis
4/32663724,Accipiter gentilis
3/32663723,Accipiter gentilis
7/32658737,Accipiter gentilis
7/32643407,Accipiter gentilis
8/32624978,Accipiter gentilis
4/32624704,Accipiter gentilis
8/32617688,Accipiter gentilis
1/32610971,Accipiter gentilis
0/32610970,Accipiter gentilis
8/32604208,Accipiter gentilis
9/32604049,Accipiter gentilis
6/32603366,Accipiter gentilis
6/32593076,Accipiter gentilis
5/32593075,Accipiter gentilis
9/32675529,Accipiter nisus
8/32675528,Accipiter nisus
7/32675527,Accipiter nisus
6/32675526,Accipiter nisus
5/32675525,Accipiter nisus
0/32675340,Accipiter nisus
5/32669245,Accipiter nisus
2/32665682,Accipiter nisus
3/32661173,Accipiter nisus
2/32661172,Accipiter nisus
0/32661130,Accipiter nisus
9/32660949,Accipiter nisus
7/32659547,Accipiter nisus
4/32659614,Accipiter nisus
3/32659613,Accipiter nisus
8/32657538,Accipiter nisus
6/32653836,Accipiter nisus
5/32653835,Accipiter nisus
9/32650079,Accipiter nisus
8/32650078,Accipiter nisus
7/32650077,Accipiter nisus
1/32648991,Accipiter nisus
4/32653254,Accipiter nisus
8/32647948,Accipiter nisus
6/32676236,Buteo buteo
5/32676235,Buteo buteo
4/32676234,Buteo buteo
2/32676002,Buteo buteo
1/32676001,Buteo buteo
7/32675997,Buteo buteo
6/32675996,Buteo buteo
0/32674100,Buteo buteo
9/32674099,Buteo buteo
9/32672759,Buteo buteo
2/32671222,Buteo buteo
1/32671221,Buteo buteo
0/32670580,Buteo buteo
6/32670366,Buteo buteo
0/32669740,Buteo buteo
3/32669443,Buteo buteo
2/32669442,Buteo buteo
3/32669103,Buteo buteo
2/32669102,Buteo buteo
9/32668569,Buteo buteo
0/32674830,Buteo buteo
7/32674137,Buteo buteo
2/32671622,Buteo buteo
1/32671621,Buteo buteo
5/32677255,Falco tinnunculus
8/32676238,Falco tinnunculus
7/32676237,Falco tinnunculus
4/32675904,Falco tinnunculus
4/32671854,Falco tinnunculus
0/32671500,Falco tinnunculus
9/32671219,Falco tinnunculus
7/32670677,Falco tinnunculus
6/32670676,Falco tinnunculus
5/32670675,Falco tinnunculus
4/32670544,Falco tinnunculus
6/32669426,Falco tinnunculus
5/32669425,Falco tinnunculus
4/32669424,Falco tinnunculus
3/32669423,Falco tinnunculus
5/32668625,Falco tinnunculus
2/32668442,Falco tinnunculus
1/32668441,Falco tinnunculus
0/32667720,Falco tinnunculus
4/32676094,Falco tinnunculus
7/32671857,Falco tinnunculus
5/32670395,Falco tinnunculus
6/32670196,Falco tinnunculus
4/32665954,Falco tinnunculus
2/31665392,Falco subbuteo
3/31613173,Falco subbuteo
5/31483835,Falco subbuteo
0/31437530,Falco subbuteo
9/31437529,Falco subbuteo
8/31422618,Falco subbuteo
3/31567713,Falco subbuteo
6/31628216,Falco subbuteo
2/31468002,Falco subbuteo
1/31468001,Falco subbuteo
0/31468000,Falco subbuteo
8/31355758,Falco subbuteo
9/31354909,Falco subbuteo
8/31354908,Falco subbuteo
1/31350741,Falco subbuteo
0/31350740,Falco subbuteo
7/31348837,Falco subbuteo
7/31348777,Falco subbuteo
4/31348094,Falco subbuteo
5/31346985,Falco subbuteo
6/31396576,Falco subbuteo
5/31396575,Falco subbuteo
4/31396574,Falco subbuteo
9/31360509,Falco subbuteo
9/32668719,Falco peregrinus
8/32668718,Falco peregrinus
8/32668188,Falco peregrinus
7/32668187,Falco peregrinus
5/32676165,Falco peregrinus
8/32674028,Falco peregrinus
5/32665845,Falco peregrinus
4/32665844,Falco peregrinus
3/32665843,Falco peregrinus
5/32664235,Falco peregrinus
7/32664317,Falco peregrinus
6/32664316,Falco peregrinus
5/32663985,Falco peregrinus
4/32663984,Falco peregrinus
9/32664629,Falco peregrinus
8/32664628,Falco peregrinus
4/32662264,Falco peregrinus
3/32662263,Falco peregrinus
2/32662262,Falco peregrinus
5/32660645,Falco peregrinus
0/32659650,Falco peregrinus
1/32659471,Falco peregrinus
0/32659470,Falco peregrinus
9/32659469,Falco peregrinus
4/32672644,Gallinula chloropus
7/32673727,Gallinula chloropus
7/32670047,Gallinula chloropus
5/32665785,Gallinula chloropus
9/32665679,Gallinula chloropus
3/32665633,Gallinula chloropus
3/32665553,Gallinula chloropus
8/32665538,Gallinula chloropus
7/32665467,Gallinula chloropus
6/32661096,Gallinula chloropus
5/32658825,Gallinula chloropus
